Time;Valid;Resolution;Frequency;Azimuth;Elevation;Noise;Sun Azimuth;Sun Elevation
2025-05-29 19:49:25;True;5;10368,1;192,5;5,5;-25,11;294,21;11,29
2025-05-29 19:49:45;True;5;10368,1;192,5;10,5;-26,89;294,28;11,25
2025-05-29 19:50:07;True;5;10368,1;192,5;15,5;-26,33;294,36;11,21
2025-05-29 19:50:29;True;5;10368,1;192,5;20,5;-24,71;294,43;11,17
2025-05-29 19:50:51;True;5;10368,1;192,5;25,5;-23,54;294,51;11,13
2025-05-29 19:51:14;True;5;10368,1;192,5;30,5;-23,22;294,59;11,08
2025-05-29 19:51:36;True;5;10368,1;192,5;35,5;-23,20;294,66;11,04
2025-05-29 19:54:33;True;5;10368,1;197,5;5,5;-27,10;295,27;10,71
2025-05-29 19:54:11;True;5;10368,1;197,5;10,5;-27,54;295,20;10,75
2025-05-29 19:53:49;True;5;10368,1;197,5;15,5;-26,59;295,12;10,79
2025-05-29 19:53:27;True;5;10368,1;197,5;20,5;-24,89;295,04;10,83
2025-05-29 19:53:05;True;5;10368,1;197,5;25,5;-23,70;294,97;10,87
2025-05-29 19:52:42;True;5;10368,1;197,5;30,5;-23,25;294,89;10,92
2025-05-29 19:52:21;True;5;10368,1;197,5;35,5;-23,17;294,82;10,96
2025-05-29 19:55:11;True;5;10368,1;202,5;5,5;-26,99;295,40;10,64
2025-05-29 19:55:31;True;5;10368,1;202,5;10,5;-27,72;295,47;10,60
2025-05-29 19:55:53;True;5;10368,1;202,5;15,5;-27,28;295,55;10,56
2025-05-29 19:56:15;True;5;10368,1;202,5;20,5;-25,98;295,62;10,52
2025-05-29 19:56:37;True;5;10368,1;202,5;25,5;-24,32;295,70;10,48
2025-05-29 19:57:00;True;5;10368,1;202,5;30,5;-23,53;295,77;10,43
2025-05-29 19:57:22;True;5;10368,1;202,5;35,5;-23,19;295,85;10,39
2025-05-29 20:00:07;True;5;10368,1;207,5;5,5;-23,88;296,42;10,08
2025-05-29 19:59:45;True;5;10368,1;207,5;10,5;-27,77;296,34;10,13
2025-05-29 19:59:23;True;5;10368,1;207,5;15,5;-27,28;296,27;10,17
2025-05-29 19:59:01;True;5;10368,1;207,5;20,5;-26,06;296,19;10,21
2025-05-29 19:58:38;True;5;10368,1;207,5;25,5;-24,49;296,11;10,25
2025-05-29 19:58:16;True;5;10368,1;207,5;30,5;-23,58;296,04;10,29
2025-05-29 19:57:55;True;5;10368,1;207,5;35,5;-23,25;295,96;10,33
2025-05-29 20:00:28;True;5;10368,1;212,5;5,5;-24,74;296,49;10,04
2025-05-29 20:00:50;True;5;10368,1;212,5;10,5;-27,80;296,56;10,01
2025-05-29 20:01:12;True;5;10368,1;212,5;15,5;-27,58;296,64;9,96
2025-05-29 20:01:34;True;5;10368,1;212,5;20,5;-26,78;296,72;9,92
2025-05-29 20:01:56;True;5;10368,1;212,5;25,5;-25,37;296,79;9,88
2025-05-29 20:02:18;True;5;10368,1;212,5;30,5;-24,02;296,87;9,84
