Range	Count	Percentage
0.98-1.96	2	2.94%
1.96-2.94	13	19.12%
2.94-3.92	22	32.35%
3.92-4.89	11	16.18%
4.89-5.87	8	11.76%
5.87-6.85	6	8.82%
6.85-7.83	0	0.00%
7.83-8.81	2	2.94%
8.81-9.79	1	1.47%
9.79-10.77	1	1.47%
10.77-11.75	0	0.00%
11.75-12.72	0	0.00%
12.72-13.70	0	0.00%
13.70-14.68	0	0.00%
14.68-15.66	0	0.00%
15.66-16.64	0	0.00%
16.64-17.62	0	0.00%
17.62-18.60	0	0.00%
18.60-19.58	0	0.00%
19.58-20.56	0	0.00%
20.56-21.53	0	0.00%
21.53-22.51	0	0.00%
22.51-23.49	0	0.00%
23.49-24.47	0	0.00%
24.47-25.45	1	1.47%
25.45-26.43	0	0.00%
26.43-27.41	0	0.00%
27.41-28.39	0	0.00%
28.39-29.36	0	0.00%
29.36-30.34	0	0.00%
30.34-31.32	0	0.00%
31.32-32.30	0	0.00%
32.30-33.28	0	0.00%
33.28-34.26	0	0.00%
34.26-35.24	0	0.00%
35.24-36.22	0	0.00%
36.22-37.20	0	0.00%
37.20-38.17	0	0.00%
38.17-39.15	0	0.00%
39.15-40.13	0	0.00%
40.13-41.11	0	0.00%
41.11-42.09	0	0.00%
42.09-43.07	0	0.00%
43.07-44.05	0	0.00%
44.05-45.03	0	0.00%
45.03-46.00	0	0.00%
46.00-46.98	0	0.00%
46.98-47.96	0	0.00%
47.96-48.94	0	0.00%
48.94-49.92	0	0.00%
49.92-50.90	0	0.00%
50.90-51.88	0	0.00%
51.88-52.86	0	0.00%
52.86-53.84	0	0.00%
53.84-54.81	0	0.00%
54.81-55.79	0	0.00%
55.79-56.77	0	0.00%
56.77-57.75	0	0.00%
57.75-58.73	0	0.00%
58.73-59.71	0	0.00%
59.71-60.69	0	0.00%
60.69-61.67	0	0.00%
61.67-62.64	0	0.00%
62.64-63.62	0	0.00%
63.62-64.60	0	0.00%
64.60-65.58	0	0.00%
65.58-66.56	0	0.00%
66.56-67.54	0	0.00%
67.54-68.52	0	0.00%
68.52-69.50	0	0.00%
69.50-70.48	0	0.00%
70.48-71.45	0	0.00%
71.45-72.43	0	0.00%
72.43-73.41	0	0.00%
73.41-74.39	0	0.00%
74.39-75.37	0	0.00%
75.37-76.35	0	0.00%
76.35-77.33	0	0.00%
77.33-78.31	0	0.00%
78.31-79.28	0	0.00%
79.28-80.26	0	0.00%
80.26-81.24	0	0.00%
81.24-82.22	0	0.00%
82.22-83.20	0	0.00%
83.20-84.18	1	1.47%
