Range	Count	Percentage
0-23	88	32.71%
23-47	84	31.23%
47-70	51	18.96%
70-93	14	5.20%
93-117	9	3.35%
117-140	1	0.37%
140-163	4	1.49%
163-187	0	0.00%
187-210	4	1.49%
210-233	1	0.37%
233-257	1	0.37%
257-280	0	0.00%
280-303	5	1.86%
303-327	0	0.00%
327-350	0	0.00%
350-373	2	0.74%
373-397	0	0.00%
397-420	2	0.74%
420-443	0	0.00%
443-467	0	0.00%
467-490	0	0.00%
490-513	0	0.00%
513-537	0	0.00%
537-560	0	0.00%
560-583	0	0.00%
583-607	2	0.74%
607-630	0	0.00%
630-653	0	0.00%
653-677	0	0.00%
677-700	1	0.37%
