Range	Count	Percentage
50–182	8	13.11%
182–313	7	11.48%
313–445	9	14.75%
445–577	12	19.67%
577–708	6	9.84%
708–840	2	3.28%
840–972	0	0.00%
972–1103	7	11.48%
1103–1235	3	4.92%
1235–1367	0	0.00%
1367–1498	0	0.00%
1498–1630	3	4.92%
1630–1762	0	0.00%
1762–1893	0	0.00%
1893–2025	2	3.28%
2025–2157	0	0.00%
2157–2288	0	0.00%
2288–2420	0	0.00%
2420–2552	0	0.00%
2552–2683	0	0.00%
2683–2815	0	0.00%
2815–2947	0	0.00%
2947–3078	1	1.64%
3078–3210	0	0.00%
3210–3342	0	0.00%
3342–3473	0	0.00%
3473–3605	0	0.00%
3605–3737	0	0.00%
3737–3868	0	0.00%
3868–4000	0	0.00%
4000–4132	1	1.64%
