Range	Count	Percentage
280–320	1	3.45%
320–360	0	0.00%
360–400	0	0.00%
400–440	1	3.45%
440–480	0	0.00%
480–520	1	3.45%
520–560	0	0.00%
560–600	0	0.00%
600–640	1	3.45%
640–680	0	0.00%
680–720	1	3.45%
720–760	1	3.45%
760–800	0	0.00%
800–840	5	17.24%
840–880	0	0.00%
880–920	1	3.45%
920–960	0	0.00%
960–1000	0	0.00%
1000–1040	9	31.03%
1040–1080	0	0.00%
1080–1120	0	0.00%
1120–1160	0	0.00%
1160–1200	0	0.00%
1200–1240	3	10.34%
1240–1280	0	0.00%
1280–1320	0	0.00%
1320–1360	0	0.00%
1360–1400	0	0.00%
1400–1440	0	0.00%
1440–1480	0	0.00%
1480–1520	5	17.24%
1520–1560	0	0.00%
