Elements	Count	Percentage
5	3	0.65%
7	1	0.22%
8	2	0.43%
9	3	0.65%
10	1	0.22%
16	2	0.43%
18	10	2.15%
20	2	0.43%
24	1	0.22%
26	6	1.29%
28	7	1.51%
29	1	0.22%
30	4	0.86%
32	4	0.86%
33	1	0.22%
34	4	0.86%
36	16	3.44%
38	5	1.08%
40	4	0.86%
42	11	2.37%
44	5	1.08%
46	7	1.51%
48	8	1.72%
50	8	1.72%
52	18	3.87%
54	1	0.22%
56	17	3.66%
58	1	0.22%
60	10	2.15%
64	12	2.58%
66	2	0.43%
68	5	1.08%
72	7	1.51%
76	16	3.44%
78	1	0.22%
80	7	1.51%
84	26	5.59%
88	11	2.37%
92	17	3.66%
96	10	2.15%
100	23	4.95%
104	10	2.15%
108	15	3.23%
112	10	2.15%
115	1	0.22%
116	4	0.86%
120	8	1.72%
124	2	0.43%
128	5	1.08%
132	5	1.08%
134	1	0.22%
136	1	0.22%
138	2	0.43%
140	3	0.65%
144	8	1.72%
148	2	0.43%
152	7	1.51%
156	4	0.86%
160	5	1.08%
162	1	0.22%
168	12	2.58%
176	5	1.08%
184	2	0.43%
192	4	0.86%
200	2	0.43%
208	6	1.29%
212	1	0.22%
216	3	0.65%
224	3	0.65%
232	2	0.43%
240	6	1.29%
256	3	0.65%
264	5	1.08%
272	2	0.43%
280	1	0.22%
288	1	0.22%
344	1	0.22%
368	2	0.43%
384	1	0.22%
432	3	0.65%
450	1	0.22%
512	1	0.22%
528	1	0.22%
720	2	0.43%
864	1	0.22%
