Range	Count	Percentage
0.0-0.3	0	0.00%
0.3-0.7	2	0.76%
0.7-1.0	5	1.90%
1.0-1.3	32	12.17%
1.3-1.7	21	7.98%
1.7-2.0	40	15.21%
2.0-2.3	14	5.32%
2.3-2.7	46	17.49%
2.7-3.0	2	0.76%
3.0-3.3	32	12.17%
3.3-3.7	11	4.18%
3.7-4.0	19	7.22%
4.0-4.3	11	4.18%
4.3-4.7	7	2.66%
4.7-5.0	1	0.38%
5.0-5.3	2	0.76%
5.3-5.7	2	0.76%
5.7-6.0	0	0.00%
6.0-6.3	3	1.14%
6.3-6.7	0	0.00%
6.7-7.0	1	0.38%
7.0-7.3	3	1.14%
7.3-7.7	0	0.00%
7.7-8.0	0	0.00%
8.0-8.3	4	1.52%
8.3-8.7	0	0.00%
8.7-9.0	1	0.38%
9.0-9.3	1	0.38%
9.3-9.7	0	0.00%
9.7-10.0	3	1.14%
