Range	Count	Percentage
0.000-0.092	68	25.86%
0.092-0.183	51	19.39%
0.183-0.275	26	9.89%
0.275-0.367	23	8.75%
0.367-0.459	19	7.22%
0.459-0.550	13	4.94%
0.550-0.642	3	1.14%
0.642-0.734	3	1.14%
0.734-0.826	4	1.52%
0.826-0.917	3	1.14%
0.917-1.009	8	3.04%
1.009-1.101	4	1.52%
1.101-1.192	4	1.52%
1.192-1.284	1	0.38%
1.284-1.376	0	0.00%
1.376-1.468	1	0.38%
1.468-1.559	0	0.00%
1.559-1.651	2	0.76%
1.651-1.743	0	0.00%
1.743-1.835	0	0.00%
1.835-1.926	2	0.76%
1.926-2.018	0	0.00%
2.018-2.110	1	0.38%
2.110-2.202	1	0.38%
2.202-2.293	0	0.00%
2.293-2.385	1	0.38%
2.385-2.477	2	0.76%
2.477-2.568	0	0.00%
2.568-2.660	0	0.00%
2.660-2.752	0	0.00%
2.752-2.844	0	0.00%
2.844-2.935	2	0.76%
2.935-3.027	1	0.38%
3.027-3.119	3	1.14%
3.119-3.211	0	0.00%
3.211-3.302	1	0.38%
3.302-3.394	0	0.00%
3.394-3.486	0	0.00%
3.486-3.577	0	0.00%
3.577-3.669	0	0.00%
3.669-3.761	0	0.00%
3.761-3.853	2	0.76%
3.853-3.944	0	0.00%
3.944-4.036	0	0.00%
4.036-4.128	0	0.00%
4.128-4.220	0	0.00%
4.220-4.311	0	0.00%
4.311-4.403	0	0.00%
4.403-4.495	0	0.00%
4.495-4.586	0	0.00%
4.586-4.678	0	0.00%
4.678-4.770	0	0.00%
4.770-4.862	0	0.00%
4.862-4.953	1	0.38%
4.953-5.045	0	0.00%
5.045-5.137	0	0.00%
5.137-5.229	0	0.00%
5.229-5.320	0	0.00%
5.320-5.412	0	0.00%
5.412-5.504	0	0.00%
5.504-5.595	0	0.00%
5.595-5.687	0	0.00%
5.687-5.779	1	0.38%
5.779-5.871	0	0.00%
5.871-5.962	0	0.00%
5.962-6.054	0	0.00%
6.054-6.146	0	0.00%
6.146-6.238	0	0.00%
6.238-6.329	1	0.38%
6.329-6.421	0	0.00%
6.421-6.513	0	0.00%
6.513-6.605	1	0.38%
6.605-6.696	0	0.00%
6.696-6.788	1	0.38%
6.788-6.880	0	0.00%
6.880-6.971	0	0.00%
6.971-7.063	0	0.00%
7.063-7.155	0	0.00%
7.155-7.247	1	0.38%
7.247-7.338	0	0.00%
7.338-7.430	0	0.00%
7.430-7.522	0	0.00%
7.522-7.614	0	0.00%
7.614-7.705	1	0.38%
7.705-7.797	0	0.00%
7.797-7.889	0	0.00%
7.889-7.980	0	0.00%
7.980-8.072	0	0.00%
8.072-8.164	0	0.00%
8.164-8.256	0	0.00%
8.256-8.347	0	0.00%
8.347-8.439	0	0.00%
8.439-8.531	0	0.00%
8.531-8.623	0	0.00%
8.623-8.714	0	0.00%
8.714-8.806	0	0.00%
8.806-8.898	0	0.00%
8.898-8.989	1	0.38%
8.989-9.081	0	0.00%
9.081-9.173	0	0.00%
9.173-9.265	1	0.38%
9.265-9.356	0	0.00%
9.356-9.448	0	0.00%
9.448-9.540	0	0.00%
9.540-9.632	0	0.00%
9.632-9.723	0	0.00%
9.723-9.815	0	0.00%
9.815-9.907	0	0.00%
9.907-9.999	0	0.00%
9.999-10.090	1	0.38%
10.090-10.182	0	0.00%
10.182-10.274	0	0.00%
10.274-10.365	0	0.00%
10.365-10.457	0	0.00%
10.457-10.549	0	0.00%
10.549-10.641	0	0.00%
10.641-10.732	0	0.00%
10.732-10.824	0	0.00%
10.824-10.916	0	0.00%
10.916-11.008	0	0.00%
11.008-11.099	0	0.00%
