Range	Count	Percentage
0.000-1.529	231	87.83%
1.529-3.058	13	4.94%
3.058-4.586	5	1.90%
4.586-6.115	2	0.76%
6.115-7.644	5	1.90%
7.644-9.173	1	0.38%
9.173-10.702	2	0.76%
10.702-12.231	1	0.38%
12.231-13.759	0	0.00%
13.759-15.288	0	0.00%
15.288-16.817	0	0.00%
16.817-18.346	2	0.76%
18.346-19.875	0	0.00%
19.875-21.404	0	0.00%
21.404-22.932	0	0.00%
22.932-24.461	0	0.00%
24.461-25.990	0	0.00%
25.990-27.519	0	0.00%
27.519-29.048	0	0.00%
29.048-30.576	0	0.00%
30.576-32.105	0	0.00%
32.105-33.634	0	0.00%
33.634-35.163	0	0.00%
35.163-36.692	0	0.00%
36.692-38.221	0	0.00%
38.221-39.749	0	0.00%
39.749-41.278	0	0.00%
41.278-42.807	0	0.00%
42.807-44.336	0	0.00%
44.336-45.865	1	0.38%
